user_id,session_date,content_type,device_type,subscription_tier,minutes_watched
user_00007,2024-01-01,movie,mobile,basic,23
user_00041,2024-01-01,movie,web,premium,76
user_00043,2024-01-01,movie,mobile,standard,47
user_00047,2024-01-01,movie,mobile,premium,11
user_00047,2024-01-01,tv_show,mobile,basic,72
user_00073,2024-01-01,movie,web,basic,47
user_00093,2024-01-01,movie,tv,standard,184
user_00117,2024-01-01,movie,tv,premium,20
user_00122,2024-01-01,movie,tv,standard,17
user_00124,2024-01-01,movie,web,standard,44
user_00144,2024-01-01,tv_show,web,standard,34
user_00159,2024-01-01,movie,tv,premium,12
user_00190,2024-01-01,movie,web,basic,15
user_00238,2024-01-01,movie,tv,basic,89
user_00247,2024-01-01,documentary,web,standard,100
user_00255,2024-01-01,movie,web,standard,34
user_00256,2024-01-01,tv_show,mobile,premium,36
user_00268,2024-01-01,tv_show,mobile,basic,55
user_00280,2024-01-01,movie,mobile,basic,50
user_00288,2024-01-01,movie,tv,basic,35
user_00289,2024-01-01,movie,mobile,premium,21
user_00323,2024-01-01,movie,tv,basic,43
user_00331,2024-01-01,tv_show,web,basic,41
user_00332,2024-01-01,movie,mobile,premium,17
user_00356,2024-01-01,tv_show,web,standard,3
user_00364,2024-01-01,movie,web,premium,110
user_00364,2024-01-01,movie,web,standard,65
user_00366,2024-01-01,tv_show,mobile,basic,26
user_00366,2024-01-01,tv_show,mobile,basic,17
user_00367,2024-01-01,tv_show,tv,premium,95
user_00369,2024-01-01,movie,mobile,standard,54
user_00372,2024-01-01,tv_show,tv,standard,48
user_00372,2024-01-01,tv_show,tv,standard,39
user_00392,2024-01-01,movie,web,standard,69
user_00404,2024-01-01,movie,mobile,basic,23
user_00425,2024-01-01,tv_show,tv,standard,70
user_00428,2024-01-01,movie,mobile,standard,38
user_00437,2024-01-01,movie,mobile,standard,19
user_00442,2024-01-01,tv_show,mobile,basic,48
user_00444,2024-01-01,movie,mobile,premium,10
user_00447,2024-01-01,tv_show,mobile,basic,18
user_00457,2024-01-01,tv_show,tv,premium,61
user_00470,2024-01-01,documentary,web,standard,40
user_00473,2024-01-01,movie,mobile,basic,96
user_00475,2024-01-01,tv_show,web,basic,34
user_00498,2024-01-01,movie,mobile,basic,16
user_00538,2024-01-01,movie,tv,standard,57
user_00540,2024-01-01,movie,mobile,standard,10
user_00548,2024-01-01,movie,tv,basic,95
user_00548,2024-01-01,movie,mobile,standard,34
user_00551,2024-01-01,movie,tv,basic,45
user_00559,2024-01-01,documentary,web,basic,53
user_00566,2024-01-01,movie,web,standard,47
user_00575,2024-01-01,documentary,mobile,basic,53
user_00580,2024-01-01,movie,web,premium,34
user_00610,2024-01-01,movie,mobile,standard,44
user_00612,2024-01-01,movie,tv,basic,79
user_00614,2024-01-01,movie,mobile,basic,11
user_00662,2024-01-01,movie,web,standard,61
user_00667,2024-01-01,movie,mobile,premium,15
user_00703,2024-01-01,movie,web,premium,95
user_00718,2024-01-01,tv_show,mobile,basic,29
user_00723,2024-01-01,tv_show,tv,standard,51
user_00733,2024-01-01,movie,tv,premium,124
user_00766,2024-01-01,tv_show,tv,standard,31
user_00790,2024-01-01,tv_show,tv,premium,3
user_00809,2024-01-01,movie,web,basic,6
user_00813,2024-01-01,movie,mobile,basic,6
user_00813,2024-01-01,tv_show,mobile,premium,44
user_00830,2024-01-01,movie,mobile,standard,8
user_00851,2024-01-01,movie,web,basic,23
user_00854,2024-01-01,movie,web,standard,54
user_00863,2024-01-01,tv_show,web,premium,19
user_00920,2024-01-01,movie,mobile,basic,66
user_00927,2024-01-01,movie,tv,premium,36
user_00936,2024-01-01,movie,web,basic,21
user_00937,2024-01-01,movie,mobile,basic,39
user_00940,2024-01-01,movie,web,basic,31
user_00959,2024-01-01,tv_show,mobile,basic,55
user_00960,2024-01-01,tv_show,mobile,basic,35
user_00977,2024-01-01,tv_show,web,basic,16
user_00985,2024-01-01,movie,web,basic,68
user_00988,2024-01-01,tv_show,web,standard,65
user_00989,2024-01-01,movie,mobile,premium,25
user_01004,2024-01-01,movie,web,premium,36
user_01008,2024-01-01,movie,mobile,standard,60
user_01017,2024-01-01,documentary,mobile,standard,38
user_01072,2024-01-01,tv_show,web,premium,33
user_01073,2024-01-01,documentary,mobile,standard,44
user_01078,2024-01-01,tv_show,tv,standard,52
user_01106,2024-01-01,documentary,tv,basic,38
user_01108,2024-01-01,movie,mobile,basic,3
user_01117,2024-01-01,documentary,mobile,standard,47
user_01122,2024-01-01,movie,mobile,basic,6
user_01135,2024-01-01,movie,mobile,standard,23
user_01159,2024-01-01,tv_show,tv,premium,90
user_01167,2024-01-01,documentary,web,premium,145
